time,distance,strafes,pre,max,height,sync,crouchjump,-forward
1669132985,278.8621,10,275.601,366,56.9,87,yes,yes
1669132987,270.3977,10,275.601,338,56.9,51,yes,yes
1669132989,274.6005,10,274.601,355,56.9,81,yes,yes
1669132991,269.4109,10,275.601,342,56.9,79,yes,yes
1669132996,280.2208,10,275.851,361,56.9,81,yes,yes
1669132998,276.5241,10,275.851,348,56.9,61,yes,yes
1669133000,279.3271,10,276.101,352,56.9,78,yes,yes
1669133002,278.4007,10,275.601,349,56.9,72,yes,yes
1669133006,273.9605,10,273.350,341,56.9,59,yes,yes
1669133008,275.1166,10,275.601,352,56.9,66,yes,yes
1669133010,279.5754,10,275.101,359,56.9,79,yes,yes
1669133012,276.7005,10,274.601,346,56.9,61,yes,yes
1669133014,279.4783,10,272.851,361,56.9,87,yes,yes
1669133016,279.4105,10,275.351,357,56.9,77,yes,yes
1669133019,274.8064,10,276.101,347,56.9,58,yes,yes
1669133023,278.7703,10,275.101,362,56.9,82,yes,yes
1669133025,274.5820,10,275.851,340,56.9,63,yes,yes
1669133044,277.5274,10,275.851,351,56.9,66,yes,yes
1669133047,271.5391,10,276.101,343,56.9,61,yes,yes
1669133049,280.0345,10,276.101,362,56.9,79,yes,yes
1669133054,277.0529,10,274.351,353,56.9,70,yes,yes
1669133056,270.0523,10,274.726,343,56.9,68,yes,yes
1669133058,265.5304,10,276.101,331,56.9,44,yes,yes
1669133060,273.7958,10,275.601,356,56.9,73,yes,yes
1669133062,280.5420,10,275.851,365,56.9,86,yes,yes
1669133064,279.1316,10,275.601,358,56.9,78,yes,yes
1669133066,272.6914,10,276.101,337,56.9,51,yes,yes
1669133068,270.0372,10,273.726,343,56.9,67,yes,yes
1669133070,278.2222,10,274.726,356,56.9,68,yes,yes
1669133072,280.1332,10,275.351,366,56.9,81,yes,yes
1669133074,277.2071,10,276.101,353,56.9,71,yes,yes
1669133076,267.8820,10,274.726,339,56.9,73,yes,yes
1669133078,274.8238,10,274.851,356,56.9,81,yes,yes
1669133080,273.9597,10,276.101,341,56.9,79,yes,yes
1669133082,279.5855,10,276.101,362,56.9,83,yes,yes
1669133084,270.0207,10,274.851,348,56.9,76,yes,yes
1669133086,273.4630,10,274.601,345,56.9,56,yes,yes
1669133092,274.4297,10,274.851,345,56.9,65,yes,yes
1669133094,277.0784,10,275.601,356,56.9,81,yes,yes
1669133096,275.6443,10,275.101,354,56.9,81,yes,yes
1669133098,260.2070,8,275.101,322,56.9,66,yes,yes
1669133102,280.8261,10,274.851,365,56.9,83,yes,yes
1669133104,270.1992,10,272.976,341,56.9,64,yes,yes
1669133106,274.3664,10,275.851,346,56.9,66,yes,yes
1669133115,274.0229,8,274.851,348,56.9,71,yes,yes
1669133117,276.8247,10,275.351,356,56.9,89,yes,yes
1669133119,276.9415,10,276.101,358,56.9,81,yes,yes
1669133121,280.5645,10,275.351,364,56.9,86,yes,yes
1669133123,274.8795,10,275.601,350,56.9,63,yes,yes
1669133125,276.9952,10,274.850,357,56.9,82,yes,yes
1669133127,269.2941,10,275.851,339,56.9,56,yes,yes
1669133129,277.2045,10,274.601,355,56.9,67,yes,yes
1669133131,275.7857,10,274.850,351,56.9,72,yes,yes
1669133135,273.7125,10,275.601,333,56.9,45,yes,yes
1669133137,274.5842,10,272.976,341,56.9,54,yes,yes
1669133139,276.8717,10,276.101,357,56.9,77,yes,yes
1669133141,275.8177,10,274.851,349,56.9,82,yes,yes
1669133150,259.2711,10,271.850,323,56.9,48,yes,yes
1669133153,278.9202,10,275.601,357,56.9,75,yes,yes
1669133155,262.8842,8,275.351,324,56.9,67,yes,yes
1669133160,278.6139,10,275.851,353,56.9,79,yes,yes
1669133162,266.6413,8,276.101,334,56.9,64,yes,yes
1669133164,273.7255,10,274.726,348,56.9,62,yes,yes
1669133166,275.2957,10,276.101,355,56.9,79,yes,yes
1669133168,275.8013,10,274.726,351,56.9,81,yes,yes
1669133170,278.6929,10,274.101,359,56.9,83,yes,yes
1669133173,270.2077,10,274.226,350,56.9,81,yes,yes
1669133175,271.9362,10,274.851,347,56.9,77,yes,yes
1669133178,278.0729,10,274.851,362,56.9,84,yes,yes
1669133180,273.6157,10,275.601,354,56.9,78,yes,yes
1669133183,278.0874,10,273.976,354,56.9,72,yes,yes
1669133185,260.2940,10,275.601,344,56.9,82,yes,yes
1669133188,274.6716,10,276.101,351,56.9,82,yes,yes
1669133190,277.4990,10,276.101,350,56.9,70,yes,yes
1669133192,278.5339,10,275.351,354,56.9,72,yes,yes
1669133195,275.6495,10,273.350,357,56.9,86,yes,yes
1669133197,277.3216,10,275.351,354,56.9,82,yes,yes
1669133201,275.3183,10,274.601,352,56.9,79,yes,yes
1669133204,275.6133,10,276.101,348,56.9,72,yes,yes
1669133206,272.3576,10,273.976,347,56.9,69,yes,yes
1669133208,276.1919,10,275.851,364,56.9,89,yes,yes
1669133210,279.4674,10,275.351,364,56.9,86,yes,yes
1669133212,274.9823,10,275.351,350,56.9,80,yes,yes
1669133214,268.1768,10,275.351,334,56.9,71,yes,yes
1669133216,267.3293,10,275.101,332,56.9,48,yes,yes
1669133535,276.0424,10,275.601,348,56.9,68,yes,yes
1669133539,268.3815,10,275.351,324,56.9,38,yes,yes
1669133543,271.8034,10,272.850,350,56.9,68,yes,yes
1669133545,272.6455,10,275.851,353,56.9,69,yes,yes
1669133548,271.1448,10,276.101,338,56.9,51,yes,yes
1669133550,275.9106,10,274.601,354,56.9,84,yes,yes
1669133553,275.1198,8,274.601,352,56.9,80,yes,yes
1669133555,278.2143,10,275.351,357,56.9,81,yes,yes
1669133557,277.5992,10,274.851,357,56.9,68,yes,yes
